"id","dist_pot","age_pot","incl_pot","final_pot","distance","distance_0","distance_1","distance_2","distance_3","distance_4","route","answers__id","answers__dist","answers__incl","answers__final","answers__coment","regiao"
"","","","","","","","","","","",""," 8909 ","5","3","5","",""
"","","","","","","","","","","",""," 8909 ","5","4","5","",""
"","","","","","","","","","","",""," 8909 ","4","3","3","Provavelmente eu faria o fim do trajeto diferente do que está sugerido no mapa.",""
"","","","","","","","","","","",""," 8909 ","4","3","4","",""
"","","","","","","","","","","",""," 8909 ","3","5","5","Na verdade venho pedalando de caieiras até São Paulo, trabalho no centro venho pela estrada de Jundiaí rodoanel bandeirantes e Marginal Tiete só pego um pedacinho de ciclovia no largo do Arouche ",""
"","","","","","","","","","","",""," 8909 ","5","4","5","",""
"","","","","","","","","","","",""," 8909 ","3","3","4","",""
"","","","","","","","","","","",""," 8909 ","3","3","4","",""
"","","","","","","","","","","",""," 8909 ","4","2","5","",""
" 3858 "," 0.296 "," 0.72 "," 0.756 "," 0.591 "," 5183 "," 3010 "," 2100 "," 50 "," 0 "," 30 ","null"," 3858 ","4","5","5","","centro"
"","","","","","","","","","","",""," 3858 ","4","5","5","",""
"","","","","","","","","","","",""," 3858 ","3","5","2","Caminho mais curto pela Luz",""
"","","","","","","","","","","",""," 3858 ","5","5","5","",""
"","","","","","","","","","","",""," 3858 ","3","4","4","Não conheço muito a região ",""
"","","","","","","","","","","",""," 3858 ","4","4","4","",""
"","","","","","","","","","","",""," 3858 ","3","5","5","Região muito perigosa para andar de bicicleta ",""
"","","","","","","","","","","",""," 3858 ","5","5","5","",""
"","","","","","","","","","","",""," 3858 ","5","4","5","",""
"","","","","","","","","","","",""," 3858 ","5","5","5","Rota assim, com poucas subidas ou descidas, é um prazer de fazer na bicicleta.",""
"","","","","","","","","","","",""," 3858 ","3","5","5","",""
"","","","","","","","","","","",""," 3858 ","2","4","5","",""
"","","","","","","","","","","",""," 3858 ","4","4","3","",""
"","","","","","","","","","","",""," 3858 ","2","3","4","",""
"","","","","","","","","","","",""," 3858 ","3","3","5","",""
"","","","","","","","","","","",""," 3858 ","4","3","5","",""
" 34660 "," 0.62 "," 0.142 "," 0.489 "," 0.417 "," 3244 "," 2350 "," 320 "," 240 "," 130 "," 210 ","null"," 34660 ","4","4","5","","centro"
"","","","","","","","","","","",""," 34660 ","4","5","5","",""
"","","","","","","","","","","",""," 34660 ","5","4","4","Sumare é cruel nas inclinacoes mas isso é inevitável",""
"","","","","","","","","","","",""," 34660 ","5","5","5","seria uma conexao excelente entre o alto da vila madalena e a paulista",""
"","","","","","","","","","","",""," 34660 ","4","4","5","Faço muito esse trajeto, mas me arrisco na rua ou pela calçada. A Dr Arnaldo e Heitor penteado sao vias com farias faixas, e seria muito importante ter cicloviva, muitos ciclista ja passam por ali. Ela faz conexão com a ciclovia da consolação, paulista, e Sumare. Espero que esteja nos planos da prefeitura.",""
"","","","","","","","","","","",""," 34660 ","4","4","5","",""
"","","","","","","","","","","",""," 34660 ","5","2","4","",""
"","","","","","","","","","","",""," 34660 ","5","5","5","",""
"","","","","","","","","","","",""," 34660 ","5","4","5","",""
"","","","","","","","","","","",""," 34660 ","5","3","4","",""
"","","","","","","","","","","",""," 34660 ","2","3","4","",""
"","","","","","","","","","","",""," 34660 ","2","4","5","",""
"","","","","","","","","","","",""," 34660 ","5","4","5","",""
"","","","","","","","","","","",""," 34660 ","2","3","4","",""
"","","","","","","","","","","",""," 34660 ","2","4","5","",""
"","","","","","","","","","","",""," 34660 ","3","3","5","",""
" 19500 "," 0.836 "," 0.282 "," 0.28 "," 0.466 "," 2420 "," 1640 "," 330 "," 170 "," 40 "," 250 ","null"," 19500 ","3","4","5","Será perfeita se for criada uma ciclovia/ciclofaixa na Av. Lins de Vasconcelos, cuja largura permite esta obra e será importante eixo de ligação entre bairros importantes da região.","centro"
"","","","","","","","","","","",""," 19500 ","2","4","5","",""
"","","","","","","","","","","",""," 19500 ","5","3","4","A parte dentro do parque pode ser interessante para lazer mas no dia a dia nao sei se seria conveniente",""
"","","","","","","","","","","",""," 19500 ","5","5","4","",""
"","","","","","","","","","","",""," 19500 ","5","3","4","Uma area com subidas. Passo pouco na região. Vejo como a mais crítica o trajeto da Dr Arnaldo",""
"","","","","","","","","","","",""," 19500 ","4","4","4","",""
"","","","","","","","","","","",""," 19500 ","5","2","4","",""
"","","","","","","","","","","",""," 19500 ","5","4","5","",""
"","","","","","","","","","","",""," 19500 ","5","3","4","",""
"","","","","","","","","","","",""," 19500 ","5","3","3","É possível que eu fizesse esse trajeto por outra rota, um pouco maior, mas com menos aclives.",""
"","","","","","","","","","","",""," 19500 ","2","5","4","",""
"","","","","","","","","","","",""," 19500 ","3","4","5","",""
"","","","","","","","","","","",""," 19500 ","5","3","4","",""
"","","","","","","","","","","",""," 19500 ","2","3","4","",""
"","","","","","","","","","","",""," 19500 ","1","3","5","",""
"","","","","","","","","","","",""," 19500 ","3","2","4","",""
" 11294 "," 0.943 "," 0.46 "," 0.93 "," 0.778 "," 1241 "," 410 "," 840 "," 0 "," 0 "," 0 ","null"," 11294 ","2","5","3","","centro"
"","","","","","","","","","","",""," 11294 ","1","5","4","",""
"","","","","","","","","","","",""," 11294 ","5","2","4","Bom caminho mas a subida no final mata",""
"","","","","","","","","","","",""," 11294 ","5","5","5","",""
"","","","","","","","","","","",""," 11294 ","4","4","4","Uma área importante para ligar do outro lado da 23 de maio.\nMas vejo que o trajeto mais importante seja o a Dr Arnaldo",""
"","","","","","","","","","","",""," 11294 ","2","4","5","",""
"","","","","","","","","","","",""," 11294 ","5","5","5","",""
"","","","","","","","","","","",""," 11294 ","5","5","5","",""
"","","","","","","","","","","",""," 11294 ","5","5","5","",""
"","","","","","","","","","","",""," 11294 ","5","5","5","",""
"","","","","","","","","","","",""," 11294 ","2","5","5","",""
"","","","","","","","","","","",""," 11294 ","1","4","5","Achei o trecho bem pequeno",""
"","","","","","","","","","","",""," 11294 ","5","3","4","",""
"","","","","","","","","","","",""," 11294 ","1","3","4","",""
"","","","","","","","","","","",""," 11294 ","1","3","5","",""
